sample_id,iteration,seed,Agentes,Porcentaje de celdas limpias,Movimientos de los agentes,Pasos
0,0,260401881273194367738508675533491096184,1,0.41025641025641024,872,1000
0,1,217456033091670808188376133535076357337,1,0.4391025641025641,863,1000
0,2,240316180691660157195476720637567611208,1,0.5128205128205128,840,1000
0,3,50561753710666486171849679493334266477,1,0.4358974358974359,864,1000
0,4,120376504560849117668767754306129063324,1,0.3301282051282051,897,1000
1,0,45286741600304573913296884229788002745,1,0.391025641025641,878,1000
1,1,55773191298613225806055689740175427078,1,0.3814102564102564,881,1000
1,2,167676124375974868840189272889774847970,1,0.2948717948717949,908,1000
1,3,289565555559811036357971472627576877074,1,0.47435897435897434,852,1000
1,4,338742400899969396826322682256838376744,1,0.4358974358974359,864,1000
2,0,114973682526623232801996751544278116307,2,0.5192307692307693,1838,1000
2,1,313445953528215350554827153298242575796,2,0.6282051282051282,1804,1000
2,2,313327836068106160404662450226684024110,2,0.7083333333333334,1779,1000
2,3,337010424724387045098028439716446784584,2,0.7371794871794872,1770,1000
2,4,149957304039784031586847446571432780074,2,0.36538461538461536,1886,1000
3,0,180307486618962697277146269888597207181,3,0.8461538461538461,2736,1000
3,1,36312650807068446114118842792496765145,3,0.8269230769230769,2742,1000
3,2,183864599910010775906532168680729303349,3,0.7628205128205128,2762,1000
3,3,17907600986095046312095273612739834912,3,0.8108974358974359,2747,1000
3,4,242604205801384613184582673144479493457,3,0.8301282051282052,2741,1000
4,0,54899103689979422730920999083138570817,4,0.8269230769230769,3742,1000
4,1,277862156271269610230137108491671512608,4,0.8301282051282052,3741,1000
4,2,253356936248890127796407913634180995763,4,0.8910256410256411,3722,1000
4,3,30426814537514273685704565450264954936,4,0.782051282051282,3756,1000
4,4,156206194089309432976002701278624719712,4,0.8717948717948718,3728,1000
5,0,277860097129101129674641795929745136864,5,0.9038461538461539,4718,1000
5,1,243875064747243308653469483912188212325,5,0.9326923076923077,4709,1000
5,2,222310621965403938445837594196566013176,5,0.9583333333333334,4701,1000
5,3,149517588298056600265433994757328994482,5,0.8814102564102564,4725,1000
5,4,331031725356637481004740830601799906372,5,0.7564102564102564,4764,1000
6,0,230981343418437278250708014078887779944,5,0.9391025641025641,4707,1000
6,1,127890436376107608272850933536921156385,5,0.9583333333333334,4701,1000
6,2,42686913190283001865021880441498227303,5,0.8878205128205128,4723,1000
6,3,226657532186310243301155582577401615762,5,0.8621794871794872,4731,1000
6,4,299602144419805698487170875183086341770,5,0.8205128205128205,4744,1000
7,0,165186453426972342196174613995424897946,6,0.967948717948718,5698,1000
7,1,208301005058912313646172854007072648099,6,0.8557692307692307,5733,1000
7,2,118595197482306711692499730729629643278,6,0.9038461538461539,5718,1000
7,3,150676828530887524753043168699760902321,6,0.9871794871794872,5692,1000
7,4,59028369792057864665726155218509424256,6,0.8653846153846154,5730,1000
8,0,76357499291369897019365666072298572847,7,0.9519230769230769,6703,1000
8,1,108112086779364925869333026338525765509,7,0.9743589743589743,6696,1000
8,2,254253968774821574426097740410145421333,7,0.9647435897435898,6699,1000
8,3,107087119219644776243648324860163332544,7,0.9967948717948718,6689,1000
8,4,215979116347142999337479527042043150595,7,0.9871794871794872,6692,1000
9,0,59103908133389764376187021454806613532,8,0.9935897435897436,7690,1000
9,1,334897932045314463398263676589447392783,8,0.9711538461538461,7697,1000
9,2,231898352939375389303082585388273029327,8,0.9775641025641025,7695,1000
9,3,137082342919369189537258086614260384529,8,0.9391025641025641,7707,1000
9,4,307965170579130955922606880775930773755,8,0.9455128205128205,7705,1000
10,0,205798624224439982670676837920553473735,9,0.9711538461538461,8697,1000
10,1,219440664573297444943786954744416479389,9,0.9775641025641025,8695,1000
10,2,7971430173835105870704339698211231635,9,0.9935897435897436,8690,1000
10,3,118371487632327842453266435370358325191,9,0.9743589743589743,8696,1000
10,4,272683934396892573776562617479519231534,9,0.9935897435897436,8690,1000
11,0,248708267876024544973687706228087650411,10,0.967948717948718,9698,1000
11,1,79793575360210826590205366364528160019,10,0.9903846153846154,9691,1000
11,2,236226173850762830343625134276838162896,10,0.9967948717948718,9689,1000
11,3,301076948967943021749333005356395339139,10,0.9967948717948718,9689,1000
11,4,9762619197203837641432836909572236533,10,1.0,9298,961
12,0,162281687819314445499769559087235238311,10,0.9807692307692307,9694,1000
12,1,15612244802705883321950459235723424588,10,1.0,8298,861
12,2,188931236251098742639985886093258969951,10,0.9647435897435898,9699,1000
12,3,62752984250911675246092272673917076275,10,0.9967948717948718,9689,1000
12,4,231920108106917219495144347310214898961,10,0.9903846153846154,9691,1000
13,0,318673101271824293689626297559393758229,11,0.9615384615384616,10700,1000
13,1,318652686417521337178535181619730733692,11,0.9807692307692307,10694,1000
13,2,310829495735601080970509751259256514627,11,0.9967948717948718,10689,1000
13,3,141507333603596643038443084362766027938,11,0.9967948717948718,10689,1000
13,4,70137521890753507593294902728283355042,11,0.9647435897435898,10699,1000
14,0,78498191464968734729689008360255928512,12,0.9903846153846154,11691,1000
14,1,324324504457716234803953617014983452165,12,1.0,8040,696
14,2,249855508623330977339777378907318284171,12,0.9935897435897436,11690,1000
14,3,206510882197488874232668648876194118951,12,0.9871794871794872,11692,1000
14,4,470766896977478426764031025258188890,12,1.0,9912,852
15,0,338994122640942956446675867549101052441,13,1.0,10478,830
15,1,79162765800683968363370410047683735216,13,1.0,9698,770
15,2,305255695517792432029600706987526531584,13,1.0,9659,767
15,3,8669859197015159627338561642787161672,13,0.9935897435897436,12690,1000
15,4,180747112943464131904952486600039102424,13,0.9807692307692307,12694,1000
16,0,66472637335367529724476012152121348059,14,1.0,10384,764
16,1,338925777299848123636086316161384906674,14,1.0,13156,962
16,2,296610544462270646876820155841579665020,14,1.0,11364,834
16,3,9414442839019649401523799388620510272,14,0.9935897435897436,13690,1000
16,4,47335146193139596914530264858617173847,14,1.0,12302,901
17,0,226802013319773224038188168518966272687,15,0.9967948717948718,14689,1000
17,1,277106707834127681985126574980185245766,15,1.0,12153,831
17,2,92338818200450032911427707197567921105,15,0.9743589743589743,14696,1000
17,3,288671095591902583740744438164826052554,15,1.0,9318,642
17,4,154281209056211448563477482825515840778,15,1.0,10593,727
18,0,283529617369568204659534429610526239439,15,1.0,12693,867
18,1,228322462280196794952465080418783651210,15,1.0,10503,721
18,2,256527495461778788058803945679240053875,15,1.0,13323,909
18,3,107536362316210166414564788279636458454,15,1.0,12048,824
18,4,206403220137451684633647124521816975982,15,1.0,11238,770
19,0,125982099876812618437500262747268148676,16,0.9935897435897436,15690,1000
19,1,108140148583205271726542201512373856776,16,1.0,9272,599
19,2,175040753719078178557597846188700677521,16,1.0,11560,742
19,3,91331374204547898948182716767947193802,16,1.0,14200,907
19,4,88465230399932175225112055190465845876,16,1.0,9912,639
20,0,5206681008994042758587319482724381481,17,1.0,13866,834
20,1,148160613829932119225147983866361166053,17,1.0,15090,906
20,2,200374661038149995109370516425342306336,17,1.0,12727,767
20,3,281330757527275094795853565966634557073,17,1.0,12863,775
20,4,14620046594452402802298618538596312609,17,0.9967948717948718,16689,1000
21,0,214685535052824489644065683731467864315,18,1.0,16320,924
21,1,236827679492750841447322149836673215638,18,1.0,15024,852
21,2,230812923253972471895313292095038939423,18,1.0,11280,644
21,3,205972710485712259972278125407445701177,18,1.0,15006,851
21,4,56981917823693400728951932968498137875,18,1.0,12756,726
22,0,124734597307778938126834475936507435324,19,0.9935897435897436,18690,1000
22,1,14087305554412850220831049415394346214,19,1.0,17852,956
22,2,321421772058668944627378781271393651129,19,1.0,12589,679
22,3,306040844095631557984149447220612227185,19,1.0,10898,590
22,4,120761181428437420263198088920888884015,19,0.9935897435897436,18690,1000
23,0,93743206016805243073506084731149820830,20,1.0,16568,844
23,1,207403854985617323009586118105000827170,20,1.0,15388,785
23,2,31917352489628721044510764909490982138,20,1.0,18928,962
23,3,74820036344963620394718856383090830053,20,0.9775641025641025,19695,1000
23,4,162703399814463489065767886258535592215,20,1.0,10388,535
24,0,49643281309193649142852073869607555712,20,1.0,10448,538
24,1,155903681833600336943149738411759551607,20,1.0,14648,748
24,2,25557172970320932211873891195100553952,20,1.0,9268,479
24,3,204289731161369182147356071704799348375,20,1.0,14228,727
24,4,131024818285071006175977430967819470151,20,1.0,14388,735
25,0,207111518560780740552784949408612863255,21,1.0,15690,762
25,1,304342093665729311023933508988218414622,21,1.0,20520,992
25,2,245438476859675018055723203728331941798,21,1.0,16803,815
25,3,307809187232312706873229417111698915868,21,0.9967948717948718,20689,1000
25,4,313666336866428474802301767951536217449,21,1.0,14808,720
26,0,223674672302983615948147497235608254451,22,1.0,18234,843
26,1,279091831979291309439944947909168756022,22,1.0,12030,561
26,2,262695001687508300042121698869632083969,22,1.0,13460,626
26,3,221927446897477010701314049837182480063,22,0.9967948717948718,21689,1000
26,4,131444833314172817889459831422732490429,22,1.0,16694,773
27,0,29995817316814529214896334555926069839,23,1.0,22435,989
27,1,252610738115997075764893502622528065001,23,1.0,17214,762
27,2,124560982462001147872385487430174645710,23,1.0,16662,738
27,3,91372699242308669827353298679542742505,23,1.0,21791,961
27,4,37947902837481793664212025540385541424,23,1.0,8911,401
28,0,26801329597908600912995873668986267200,24,1.0,11088,475
28,1,295995898993898940630648613265950866594,24,1.0,15072,641
28,2,105881918768760088711739024355010247034,24,1.0,17880,758
28,3,232144902557023524398555250081985066964,24,1.0,13872,591
28,4,71317116216450729970274662026379448880,24,1.0,12408,530
29,0,246951314759931345418976954513850290723,25,1.0,16813,685
29,1,206892278871971473740092586822010720761,25,1.0,17338,706
29,2,77849207679526206704605200059921567349,25,1.0,21863,887
29,3,235428596384008777350664145210135836483,25,1.0,17438,710
29,4,147201672476109483722050672389870904620,25,1.0,12438,510
